id;fecha_creacion;fecha_entrega;pedido_numero;descripcion;facturado;entregado;total_bruto;total_iva;total_imp_consumo;total
1;2020-05-20T10:17:45;2020-05-19T19:16:36;27425;synthesize;true;false;89090;67138;8731;21815
2;2020-05-20T01:45:58;2020-05-20T08:07:50;14257;programming;true;true;90754;93963;58389;86508
3;2020-05-20T02:11:01;2020-05-20T08:55:27;38072;Indian Rupee;true;true;45698;13299;9128;17710
4;2020-05-20T14:48:56;2020-05-20T11:16:04;99068;online cross-media;false;false;58006;48711;35754;33578
5;2020-05-19T21:15:57;2020-05-20T08:21:35;61867;payment Fantastic Fresh Cheese;false;false;11539;11819;94024;95203
6;2020-05-20T08:11:51;2020-05-20T07:58:19;25993;bi-directional compelling;false;false;69937;39180;79096;16457
7;2020-05-20T11:38:12;2020-05-19T22:22:39;2284;Kuwait JSON;true;true;79831;87058;52476;64056
8;2020-05-20T05:13:25;2020-05-20T16:17:51;69179;India Producer;false;false;41409;90958;89350;61142
9;2020-05-19T20:12:35;2020-05-20T03:42:06;13695;Intelligent Bedfordshire Investment Account;true;false;51597;45033;25087;38096
10;2020-05-20T04:15:56;2020-05-19T23:52:55;99433;Alabama Cotton;true;false;60941;73819;19925;79102
