id;codigo;descripcion;imagen;imagen_content_type;unidad;cantidad;precio;iva;icovalor
1;budgetary management;cyan ivory;../fake-data/blob/hipster.png;image/png;concept Motorway circuit;20978;82185;10341;24552
2;Borders Facilitator Rubber;Fresh;../fake-data/blob/hipster.png;image/png;systemic Practical orchid;19082;34838;33378;71714
3;reboot Programmable;Hat Awesome;../fake-data/blob/hipster.png;image/png;Tunnel;94847;78123;78708;32131
4;Tools;back-end challenge Haiti;../fake-data/blob/hipster.png;image/png;Hat action-items;76382;67494;84731;72373
5;Soft;Won;../fake-data/blob/hipster.png;image/png;multi-tasking;53477;21711;37270;87206
6;incubate;application;../fake-data/blob/hipster.png;image/png;synthesizing Sleek Plastic Computer;49294;36847;12388;75452
7;port Via withdrawal;Utah;../fake-data/blob/hipster.png;image/png;Ukraine orange;77198;46192;28148;30693
8;auxiliary;neural;../fake-data/blob/hipster.png;image/png;neural Global Tasty;99547;49406;70490;90042
9;Jewelery vertical;world-class microchip Lesotho;../fake-data/blob/hipster.png;image/png;Handcrafted Metal Chicken Intranet;86081;96268;29591;91489
10;generating e-markets orchid;plug-and-play;../fake-data/blob/hipster.png;image/png;Car Rustic Cotton Shirt;38494;29987;37707;2003
